word,fre,meaning
we,821,我们
people,580,人民
they,498,他们
germany,395,德国
world,280,世界
must,262,必须
he,244,他
war,238,战争
you,215,你
time,195,时间
today,182,今天
great,172,伟大的
life,167,生命
now,156,现在
nation,155,民族
against,150,反对
reich,143,帝国
economic,139,经济的
first,137,第一
even,118,甚至
know,117,知道
men,116,男人
whole,113,整个
never,113,从不
work,112,工作
peace,112,和平
government,110,政府
made,106,做出
power,100,力量
british,98,英国的
last,94,最后
new,93,新的
right,90,正确的
political,84,政治的
possible,83,可能
however,83,然而
without,80,没有
still,79,仍然
fact,79,事实
international,74,国际的
germans,74,德国人
europe,74,欧洲
england,74,英格兰
army,71,军队
very,70,非常
believe,70,相信
always,70,一直
perhaps,69,可能
end,69,结束
see,68,看到
interests,67,利益
foreign,67,外国的
polish,66,波兰的
order,66,命令
many,66,许多
course,65,事业
others,63,其他
millions,63,百万
therefore,62,因此
necessary,61,必需
country,61,国家
struggle,60,挣扎
already,60,已经
reason,58,原因
certain,58,当然
want,57,想要
future,56,未来
take,54,拿
far,54,远
ever,54,曾经
france,53,法国
fight,53,战斗
present,52,目前
policy,52,政策
poland,52,波兰
masses,51,大众
jew,51,犹太人
individual,51,个人
become,51,成为
your,50,你的
history,50,历史
revolution,49,革命
conditions,48,条件
relations,47,关系
versailles,46,凡尔赛
part,46,部分
forces,46,军队
treaty,45,条约
result,45,结果
party,45,政党
jewish,45,犹太的
countries,45,国家
true,44,真的
wish,43,希望
strength,43,力量
parties,43,政党
faith,43,信仰
everything,43,所有
task,42,任务
